"Grid";"Year";"Occupancy";"Species"
"b3";2020;0.746784059436215;"Domestic horse"
"b4";2020;0.41369860273078;"Domestic horse"
"c1";2020;1;"Domestic horse"
"c2";2020;0.146930124679274;"Domestic horse"
"c3";2020;0.571530689513503;"Domestic horse"
"c4";2020;0.913975652422014;"Domestic horse"
"d1";2020;0.138034942709752;"Domestic horse"
"d2";2020;0.631605601350054;"Domestic horse"
"d3";2020;0.106654869846568;"Domestic horse"
"d4";2020;0.550209358149206;"Domestic horse"
"a1";2021;1;"Domestic horse"
"a2";2021;1;"Domestic horse"
"a3";2021;1;"Domestic horse"
"a4";2021;0.264913574841752;"Domestic horse"
"b1";2021;1;"Domestic horse"
"b2";2021;1;"Domestic horse"
"b3";2021;1;"Domestic horse"
"b4";2021;1;"Domestic horse"
"c1";2021;1;"Domestic horse"
"c2";2021;1;"Domestic horse"
"c3";2021;1;"Domestic horse"
"c4";2021;1;"Domestic horse"
"d1";2021;1;"Domestic horse"
"d2";2021;0.0593370444905252;"Domestic horse"
"d3";2021;0.0725834102786775;"Domestic horse"
"d4";2021;1;"Domestic horse"
"a1";2022;1;"Domestic horse"
"a2";2022;1;"Domestic horse"
"a3";2022;1;"Domestic horse"
"a4";2022;1;"Domestic horse"
"b1";2022;0.00216738718709315;"Domestic horse"
"b2";2022;1;"Domestic horse"
"b3";2022;1;"Domestic horse"
"b4";2022;1;"Domestic horse"
"c1";2022;1;"Domestic horse"
"c2";2022;1;"Domestic horse"
"c3";2022;0.127287756121918;"Domestic horse"
"c4";2022;1;"Domestic horse"
"d1";2022;0.00240764936762171;"Domestic horse"
"d2";2022;0.0868852202246031;"Domestic horse"
"d3";2022;0.107355889975514;"Domestic horse"
"d4";2022;1;"Domestic horse"
"a1";2015;1;"European roe deer"
"a2";2015;1;"European roe deer"
"a3";2015;1;"European roe deer"
"a4";2015;1;"European roe deer"
"b1";2015;1;"European roe deer"
"b2";2015;1;"European roe deer"
"b3";2015;1;"European roe deer"
"b4";2015;1;"European roe deer"
"c1";2015;1;"European roe deer"
"c2";2015;1;"European roe deer"
"c3";2015;1;"European roe deer"
"c4";2015;1;"European roe deer"
"d1";2015;1;"European roe deer"
"d2";2015;1;"European roe deer"
"d3";2015;1;"European roe deer"
"d4";2015;1;"European roe deer"
"a1";2016;1;"European roe deer"
"a2";2016;1;"European roe deer"
"a3";2016;1;"European roe deer"
"a4";2016;1;"European roe deer"
"b1";2016;1;"European roe deer"
"b2";2016;1;"European roe deer"
"b3";2016;1;"European roe deer"
"b4";2016;1;"European roe deer"
"c1";2016;1;"European roe deer"
"c2";2016;1;"European roe deer"
"c3";2016;1;"European roe deer"
"c4";2016;1;"European roe deer"
"d1";2016;1;"European roe deer"
"d2";2016;1;"European roe deer"
"d3";2016;1;"European roe deer"
"d4";2016;1;"European roe deer"
"a1";2017;1;"European roe deer"
"a2";2017;0.00386775299962869;"European roe deer"
"a3";2017;1;"European roe deer"
"a4";2017;1;"European roe deer"
"b1";2017;1;"European roe deer"
"b2";2017;1;"European roe deer"
"b3";2017;0.0314278826935397;"European roe deer"
"b4";2017;1;"European roe deer"
"c1";2017;1;"European roe deer"
"c2";2017;1;"European roe deer"
"c3";2017;1;"European roe deer"
"c4";2017;1;"European roe deer"
"d1";2017;1;"European roe deer"
"d2";2017;1;"European roe deer"
"d3";2017;1;"European roe deer"
"d4";2017;0.974540745817754;"European roe deer"
"a1";2018;1;"European roe deer"
"a2";2018;0.00810814143969729;"European roe deer"
"a3";2018;1;"European roe deer"
"a4";2018;1;"European roe deer"
"b1";2018;1;"European roe deer"
"b2";2018;1;"European roe deer"
"b3";2018;0.0507043652870232;"European roe deer"
"b4";2018;1;"European roe deer"
"c1";2018;1;"European roe deer"
"c2";2018;1;"European roe deer"
"c3";2018;1;"European roe deer"
"c4";2018;1;"European roe deer"
