"Grid";"Year";"Occupancy";"Species"
"b2";2019;0.006923222078999;"Gray wolf"
"b3";2019;1;"Gray wolf"
"b4";2019;0.131490198633084;"Gray wolf"
"c1";2019;0.0282922830224272;"Gray wolf"
"c2";2019;1;"Gray wolf"
"c3";2019;0.660739835016906;"Gray wolf"
"c4";2019;1;"Gray wolf"
"d1";2019;0.596654891322767;"Gray wolf"
"d2";2019;0.615813138821388;"Gray wolf"
"d3";2019;0.582859692302988;"Gray wolf"
"d4";2019;0.0234915408891739;"Gray wolf"
"a1";2020;0.249210021146015;"Gray wolf"
"a2";2020;0.996407830353268;"Gray wolf"
"a3";2020;1;"Gray wolf"
"a4";2020;0.498778548780245;"Gray wolf"
"b1";2020;0.987601163510779;"Gray wolf"
"b2";2020;0.338886640433292;"Gray wolf"
"b3";2020;0.93262704833721;"Gray wolf"
"b4";2020;0.290518606455648;"Gray wolf"
"c1";2020;0.263011524737417;"Gray wolf"
"c2";2020;0.661812774986591;"Gray wolf"
"c3";2020;0.85830218224236;"Gray wolf"
"c4";2020;0.963933518551956;"Gray wolf"
"d1";2020;0.723804098640416;"Gray wolf"
"d2";2020;0.739460893556782;"Gray wolf"
"d3";2020;0.712841344219081;"Gray wolf"
"d4";2020;0.253343407629117;"Gray wolf"
"a1";2021;0.170502747871741;"Gray wolf"
"a2";2021;0.993953973321372;"Gray wolf"
"a3";2021;0.727772798114051;"Gray wolf"
"a4";2021;0.350722814418113;"Gray wolf"
"b1";2021;0.978790462299805;"Gray wolf"
"b2";2021;0.166012647845724;"Gray wolf"
"b3";2021;0.889790542311724;"Gray wolf"
"b4";2021;0.506425262299579;"Gray wolf"
"c1";2021;1;"Gray wolf"
"c2";2021;0.517927997028496;"Gray wolf"
"c3";2021;1;"Gray wolf"
"c4";2021;0.964507384166354;"Gray wolf"
"d1";2021;0.802700795480284;"Gray wolf"
"d2";2021;0.816175837218544;"Gray wolf"
"d3";2021;0.79045127404265;"Gray wolf"
"d4";2021;0.218046516716169;"Gray wolf"
"a1";2022;0.155645104793699;"Gray wolf"
"a2";2022;0.992395828471622;"Gray wolf"
"a3";2022;0.618884099127023;"Gray wolf"
"a4";2022;0.355472754020446;"Gray wolf"
"b1";2022;0.973744862297587;"Gray wolf"
"b2";2022;0.19841413070015;"Gray wolf"
"b3";2022;0.870457248218792;"Gray wolf"
"b4";2022;1;"Gray wolf"
"c1";2022;0.536706494568683;"Gray wolf"
"c2";2022;0.488311466112133;"Gray wolf"
"c3";2022;0.991947412314818;"Gray wolf"
"c4";2022;1;"Gray wolf"
"d1";2022;0.859193438232628;"Gray wolf"
"d2";2022;0.873059737696963;"Gray wolf"
"d3";2022;0.847459472043261;"Gray wolf"
"d4";2022;0.219576207027535;"Gray wolf"
"a1";2015;3.70574114947548e-32;"Iberian ibex"
"a2";2015;2.97479529686981e-21;"Iberian ibex"
"a3";2015;0.000592163134439734;"Iberian ibex"
"a4";2015;7.93868619877907e-17;"Iberian ibex"
"b1";2015;3.80974079780575e-05;"Iberian ibex"
"b2";2015;2.53493753648747e-14;"Iberian ibex"
"b3";2015;0.00187570302504229;"Iberian ibex"
"b4";2015;0.000713765319193482;"Iberian ibex"
"c1";2015;1.30743623364569e-06;"Iberian ibex"
"c2";2015;0.000187145463414018;"Iberian ibex"
"c3";2015;0.000713852784909378;"Iberian ibex"
"c4";2015;0.000711866178704516;"Iberian ibex"
"d1";2015;9.50953395800419e-06;"Iberian ibex"
"d2";2015;0.0006855972834033;"Iberian ibex"
"d3";2015;0.000714140471378469;"Iberian ibex"
"d4";2015;5.08924011139748e-06;"Iberian ibex"
"a1";2016;5.6959824000883e-35;"Iberian ibex"
"a2";2016;1.24322566160496e-20;"Iberian ibex"
"a3";2016;1;"Iberian ibex"
"a4";2016;4.71058043297341e-16;"Iberian ibex"
"b1";2016;0.0014010050012745;"Iberian ibex"
"b2";2016;9.93285140086286e-11;"Iberian ibex"
"b3";2016;0.129934178423016;"Iberian ibex"
"b4";2016;0.648913882089157;"Iberian ibex"
"c1";2016;8.62575109762035e-05;"Iberian ibex"
"c2";2016;0.00472049849476664;"Iberian ibex"
"c3";2016;0.274078972817665;"Iberian ibex"
"c4";2016;0.61038948816361;"Iberian ibex"
"d1";2016;0.000799288661028237;"Iberian ibex"
"d2";2016;0.185311080486568;"Iberian ibex"
"d3";2016;0.578921108769771;"Iberian ibex"
"d4";2016;0.0151151685167526;"Iberian ibex"
"a1";2017;6.94790899309857e-29;"Iberian ibex"
"a2";2017;6.93586107804736e-15;"Iberian ibex"
"a3";2017;0.999955532387829;"Iberian ibex"
"a4";2017;4.84575023974967e-10;"Iberian ibex"
"b1";2017;0.00324589688083454;"Iberian ibex"
"b2";2017;3.95028064416348e-09;"Iberian ibex"
"b3";2017;0.282173522347587;"Iberian ibex"
"b4";2017;0.876494746054613;"Iberian ibex"
"c1";2017;0.000215171887938584;"Iberian ibex"
"c2";2017;0.00989894960308017;"Iberian ibex"
"c3";2017;0.472583265840331;"Iberian ibex"
"c4";2017;0.848130894576103;"Iberian ibex"
"d1";2017;0.00198316597275023;"Iberian ibex"
"d2";2017;0.336167566417059;"Iberian ibex"
"d3";2017;0.822412989790161;"Iberian ibex"
"d4";2017;0.337246561327548;"Iberian ibex"
"a1";2018;1.47813154052231e-26;"Iberian ibex"
"a2";2018;3.37719282516269e-14;"Iberian ibex"
"a3";2018;1;"Iberian ibex"
"a4";2018;1.0217074484319e-11;"Iberian ibex"
"b1";2018;0.00529493992862817;"Iberian ibex"
"b2";2018;5.81083353615999e-09;"Iberian ibex"
"b3";2018;0.440434543385553;"Iberian ibex"
"b4";2018;0.956370107562267;"Iberian ibex"
"c1";2018;0.000356179553214087;"Iberian ibex"
"c2";2018;0.0154172424192445;"Iberian ibex"
"c3";2018;0.616719019901312;"Iberian ibex"
"c4";2018;0.940596326655186;"Iberian ibex"
"d1";2018;0.00342442741654532;"Iberian ibex"
"d2";2018;0.458612304927408;"Iberian ibex"
"d3";2018;0.924940418847724;"Iberian ibex"
"d4";2018;0.619472968365187;"Iberian ibex"
"a1";2019;5.44574088830624e-30;"Iberian ibex"
"a2";2019;1.76486291899047e-21;"Iberian ibex"
"a3";2019;1;"Iberian ibex"
"a4";2019;9.29955522170165e-14;"Iberian ibex"
"b1";2019;0.0074800716786625;"Iberian ibex"
"b2";2019;1.12928966276387e-10;"Iberian ibex"
"b3";2019;0.602139373273772;"Iberian ibex"
"b4";2019;0.984403731228733;"Iberian ibex"
"c1";2019;0.000503142956351195;"Iberian ibex"
"c2";2019;0.0209020788262917;"Iberian ibex"
"c3";2019;0.721376093351351;"Iberian ibex"
"c4";2019;0.976561658639433;"Iberian ibex"
"d1";2019;0.00498377431711968;"Iberian ibex"
"d2";2019;0.557840225796731;"Iberian ibex"
"d3";2019;0.968112639458703;"Iberian ibex"
"d4";2019;1;"Iberian ibex"
"a1";2020;1.95973154825841e-11;"Iberian ibex"
"a2";2020;3.1048243989595e-08;"Iberian ibex"
"a3";2020;1;"Iberian ibex"
"a4";2020;3.35358546463141e-07;"Iberian ibex"
"b1";2020;0.0104316950121849;"Iberian ibex"
"b2";2020;5.08323123337993e-06;"Iberian ibex"
"b3";2020;0.807345342438038;"Iberian ibex"
"b4";2020;0.994247175698717;"Iberian ibex"
"c1";2020;0.000784608433003851;"Iberian ibex"
"c2";2020;0.0278674177235633;"Iberian ibex"
"c3";2020;0.797382337354982;"Iberian ibex"
"c4";2020;0.990575474668901;"Iberian ibex"
"d1";2020;0.00806715765402508;"Iberian ibex"
"d2";2020;0.638671648717096;"Iberian ibex"
"d3";2020;0.986293112734199;"Iberian ibex"
"d4";2020;0.999868432362561;"Iberian ibex"
"a1";2021;4.35215463033778e-45;"Iberian ibex"
"a2";2021;7.4900717331862e-31;"Iberian ibex"
"a3";2021;1;"Iberian ibex"
"a4";2021;2.7164636905429e-24;"Iberian ibex"
"b1";2021;0.0129965223062809;"Iberian ibex"
"b2";2021;4.63327129667698e-20;"Iberian ibex"
"b3";2021;1;"Iberian ibex"
"b4";2021;0.997700885015698;"Iberian ibex"
"c1";2021;0.00105335388832137;"Iberian ibex"
"c2";2021;0.0343174605485017;"Iberian ibex"
"c3";2021;0.852562200856429;"Iberian ibex"
"c4";2021;0.996018560865192;"Iberian ibex"
"d1";2021;0.0106266092594739;"Iberian ibex"
"d2";2021;0.703983780330036;"Iberian ibex"
"d3";2021;0.993947748470303;"Iberian ibex"
"d4";2021;1;"Iberian ibex"
"a1";2022;4.1184240185864e-43;"Iberian ibex"
"a2";2022;1.54069072422655e-28;"Iberian ibex"
"a3";2022;1;"Iberian ibex"
"a4";2022;1.32917227977462e-19;"Iberian ibex"
"b1";2022;0.0207189102060813;"Iberian ibex"
"b2";2022;3.24535252593786e-15;"Iberian ibex"
"b3";2022;1;"Iberian ibex"
"b4";2022;0.998914858977269;"Iberian ibex"
"c1";2022;0.00401091144635175;"Iberian ibex"
"c2";2022;0.0443023521503574;"Iberian ibex"
"c3";2022;0.892654010309176;"Iberian ibex"
"c4";2022;0.998159341203128;"Iberian ibex"
"d1";2022;0.0202038044668808;"Iberian ibex"
"d2";2022;0.759027021361237;"Iberian ibex"
"d3";2022;0.997173159788481;"Iberian ibex"
"d4";2022;1;"Iberian ibex"
