"Grid";"Year";"Cattle";"Horse";"RoeDeer";"WildBoar";"Fox";"Wolf";"Ibex"
"a2";2018;1;1;0.00810814143969729;0.271191866922724;0.217017118922819;0.901439668556627;3.37719282516269e-14
"a3";2018;0.032559163173244;1;1;0.194720037239758;0.482586968086359;0.799621821288367;1
"a4";2018;1;1;1;1;1;0.181543853245384;1.0217074484319e-11
"b1";2018;0.0069211776628095;1;1;1;0.513480409028925;0.99535656104849;0.00529493992862817
"b2";2018;1;1;1;1;0.466280172462484;0.0524978565179167;5.81083353615999e-09
"b3";2018;1;1;0.0507043652870232;1;0.51365111824163;1;0.440434543385553
"b4";2018;0.216994832710563;0.0565642596929721;1;0.0481061314861918;0.836905876738532;1;0.956370107562267
"c1";2018;0.00523288538219316;1;1;1;0.506733234465676;1;0.000356179553214087
"c2";2018;0.024325224677697;1;1;1;0.56788956618642;0.394872421611235;0.0154172424192445
"c3";2018;0.0244110410262092;1;1;1;0.675911858683059;0.537402174937519;0.616719019901312
"c4";2018;0.104535079751308;1;1;0.0670878674940825;0.542976548604251;0.918111135335192;0.940596326655186
"d1";2018;1;0.00201316953566389;1;1;0.833669342484219;0.515020401459205;0.00342442741654532
"d2";2018;0.070558623361089;1;1;1;0.528595447435784;0.521826737371763;0.458612304927408
"d3";2018;1;0.0621407289561894;1;1;0.674056483863759;0.502821825370177;0.924940418847724
"d4";2018;0.0230185502451638;0.199013894473935;1;1;1;0.135009308441114;0.619472968365187
"a1";2019;1;1;1;1;0.247090152613699;0.00613367334190294;5.44574088830624e-30
"a2";2019;1;1;1;1;1;1;1.76486291899047e-21
"a3";2019;1;1;1;1;1;1;1
"a4";2019;1;1;1;1;0.037066653659171;1;9.29955522170165e-14
"b1";2019;0.0193883875925249;1;1;1;1;1;0.0074800716786625
"b2";2019;0.000191068107858281;1;1;1;1;0.006923222078999;1.12928966276387e-10
"b3";2019;1;1;1;1;1;1;0.602139373273772
"b4";2019;1;0.0299349168750922;1;1;0.0624832373453696;0.131490198633084;0.984403731228733
"c1";2019;0.000123039963969858;1;1;1;1;0.0282922830224272;0.000503142956351195
"c2";2019;0.00020736387789132;1;1;1;1;1;0.0209020788262917
"c3";2019;0.155914962867695;1;1;1;0.576983829530706;0.660739835016906;0.721376093351351
"c4";2019;1;1;1;1;1;1;0.976561658639433
"d1";2019;1;0.000160010024036204;1;1;0.115675819159798;0.596654891322767;0.00498377431711968
"d2";2019;1;1;1;1;1;0.615813138821388;0.557840225796731
"d3";2019;0.0382236580001762;0.0279563516248988;1;1;0.413052930602698;0.582859692302988;0.968112639458703
"d4";2019;1;0.114499428491359;1;1;1;0.0234915408891739;1
"a1";2020;0.734180689970118;0.906574657301337;0.978581817916227;1;0.900074800042833;0.249210021146015;1.95973154825841e-11
"a2";2020;1;0.871837454755074;0.192362300541943;0.809060420707825;0.396062348999271;0.996407830353268;3.1048243989595e-08
"a3";2020;1;1;1;1;0.335616193760193;1;1
"a4";2020;1;0.548778510469714;1;1;1;0.498778548780245;3.35358546463141e-07
"b1";2020;0.412576463169538;0.72763759636927;1;0.86712466403697;0.460172701220984;0.987601163510779;0.0104316950121849
"b2";2020;0.0495217469327199;0.957562865959623;0.998144023420689;0.904521033064071;0.790674406674099;0.338886640433292;5.08323123337993e-06
"b3";2020;0.897306605297095;0.746784059436215;1;1;1;0.93262704833721;0.807345342438038
"b4";2020;0.522511172391129;0.41369860273078;1;1;1;0.290518606455648;0.994247175698717
